"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"CA","ABRAHAM",48,86945,20070821,20000803,0.5500000,0.0000000,-2030.0000000,3570.000,,,"Cogley 2018, GMBAL.TTN201801, based on: VanLooy (2011): Geocarto International, 28(2), 98-113.","Density assumption: 900 kg m-3"
"CA","ABRAHAM",48,86946,20080729,20050815,0.5300000,-10.00000,-2190.0000000,1230.000,,,"Cogley 2018, GMBAL.TTN201801, based on: Barrand et al. (2017): The Cryosphere, 11, 157-168. doi: 10.5194/tc-2016-171.","Density assumption: 1000 kg m-3"
"CA","ABRAHAM",48,87128,20089999,20059999,0.6400000,0.0100000,-2506.0000000,1704.000,"Nicolas Barrand","University of Birmingham UK","Barrand et al. (2017), The Cryosphere, 11, 157-168, doi:10.5194/tc-11-157-2017.","Area change only reported 2005-2008"
"CA","ABRAHAM",48,86947,20090815,20080815,0.5300000,0.0000000,-1760.0000000,390.0000,,,"Cogley 2018, GMBAL.TTN201801, based on: Barrand et al. (2017): The Cryosphere, 11, 157-168. doi: 10.5194/tc-2016-171.","Density assumption: 1000 kg m-3"
"CA","ABRAHAM",48,87129,20099999,20089999,0.6400000,0.0000000,-2024.0000000,627.0000,"Nicolas Barrand","University of Birmingham UK","Barrand et al. (2017), The Cryosphere, 11, 157-168, doi:10.5194/tc-11-157-2017.","Area change only reported 2005-2008"
"CA","ABRAHAM",48,86948,20110815,20090815,0.5300000,0.0000000,-740.0000000,700.0000,,,"Cogley 2018, GMBAL.TTN201801, based on: Barrand et al. (2017): The Cryosphere, 11, 157-168. doi: 10.5194/tc-2016-171.","Density assumption: 1000 kg m-3"
"CA","ABRAHAM",48,87130,20119999,20099999,0.6400000,0.0000000,-847.0000000,932.0000,"Nicolas Barrand","University of Birmingham UK","Barrand et al. (2017), The Cryosphere, 11, 157-168, doi:10.5194/tc-11-157-2017.","Area change only reported 2005-2008"
"CA","AGASSIZ ICE CAP",3370,1247,20000601,19950601,17523.00,0.0000000,-350.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Abdalati, W., et al., 2004, J. Geophys. Res., 109, F04007, 10.1029/2003JF000045","Methods used for survey/reference years are: SL/SL. "
"CA","ANDREI",34,86936,19820815,19650815,1477.000,0.0000000,-8500.0000000,16320.00,,,"Cogley 2018, GMBAL.TTN201801, based on: Schiefer et al. (2007): Geophysical Research Letters, 34(16). doi:10.1029/2007GL030780.","Density assumption: 900 kg m-3"
"CA","BARNES ICE CAP",3371,1248,20000601,19950601,5671.000,0.0000000,-3020.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Abdalati, W., et al., 2004, J. Geophys. Res., 109, F04007, 10.1029/2003JF000045","Methods used for survey/reference years are: SL/SL. "
"CA","BENCH",66,3,20000825,19500701,9.000000,0.0000000,-84000.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Arendt, A.A., et al., 2002, Science, 297, 382-386, 10.1126/science.1072497","Methods used for survey/reference years are: AP/AL. "
"CA","BENCH",66,4,20040905,19500701,7.660000,-1040.000,-89400.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Arendt, A.A., et al., 2006, J. Geophys. Res., 111, F03019, 10.1029/2005JF000436","Methods used for survey/reference years are: AP/AL. "
"CA","BENCH",66,5,20040905,20000825,9.000000,0.0000000,-5400.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Arendt, A.A., et al., 2002, Science, 297, 382-386, 10.1126/science.1072497; Arendt, A.A., et al., 2006, J. Geophys. Res., 111, F03019, 10.1029/2005JF000436","Methods used for survey/reference years are: AP/AL. "
"CA","BLACKHOLM",23565,87049,19880101,19280701,0.5800000,-150.0000,-30000.0000000,15300.00,,,"Cogley 2018, GMBAL.TTN201801, based on: Koch et al. (2009): Global and Planetary Change, 66(3-4), 161-178.","Density assumption: 900 kg m-3"
"CA","BLACKHOLM",23565,87050,20000216,19880101,0.5800000,0.0000000,-9000.0000000,3700.000,,,"Cogley 2018, GMBAL.TTN201801, based on: Koch et al. (2009): Global and Planetary Change, 66(3-4), 161-178.","Density assumption: 900 kg m-3"
"CA","CARIBOO 01 (CASTLE CREEK)",23599,87114,19840731,19520925,0.1310000,14.00000,-17830.0000000,4780.000,,,"Cogley 2018, GMBAL.TTN201801, based on: Beedle et al. (2015): The Cryopshere, 9, 65-80.","Density assumption: 1000 kg m-3"
