"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"GL","AKULLIIT",3733,88707,20120507,19859999,3.381000,,-9190.0000000,7600.000,"Robert McNabb, Jacqueline Bannwart","Department of Geosciences, University of Oslo, Department of Geography, University of Zurich","Huber et al. (2020): Front. Earth Sci., 8(35), DOI: 10.3389/feart.2020.00035.","Glacier outlines and area from RGI6.0, surface elevation change fields derived from AeroDEM and TanDEM-X data, filling of voids in the elevation change fields using local glacier hypsometry according to McNabb et al. 2019, Survey date/year: TanDEM-X consists of several scenes with a temporal coverage 20101212 - 20140220, hence, mid-point of this time frame is used, reference date: unknown day and month, uncertainty assessment based on the corresponding calculation in Huber et al. 2020 (subm.), radar penetration not considered, elevation change was calculated if 2/3 of the elevation range and 1/3 of the area has data coverage, areal void fraction of this glacier: 23%"
"GL","AQQUTIKITSOQ",10417,9058,20140812,19850728,2.850000,-200.0000,-17400.0000000,3300.000,"Marco Marcer","Technical University of Denmark DTU, Kgs. Lyngby, Denmark","Marcer et al., 2017, Arct. Antarct. Alpine Res.","2014 DEM established from ground-based Structure from Motion"
"GL","CHAMBERLIN",3735,88708,20120507,19859999,7.753000,,-7240.0000000,4370.000,"Robert McNabb, Jacqueline Bannwart","Department of Geosciences, University of Oslo, Department of Geography, University of Zurich","Huber et al. (2020): Front. Earth Sci., 8(35), DOI: 10.3389/feart.2020.00035.","Glacier outlines and area from RGI6.0, surface elevation change fields derived from AeroDEM and TanDEM-X data, filling of voids in the elevation change fields using local glacier hypsometry according to McNabb et al. 2019, Survey date/year: TanDEM-X consists of several scenes with a temporal coverage 20101212 - 20140220, hence, mid-point of this time frame is used, reference date: unknown day and month, uncertainty assessment based on the corresponding calculation in Huber et al. 2020 (subm.), radar penetration not considered, elevation change was calculated if 2/3 of the elevation range and 1/3 of the area has data coverage, areal void fraction of this glacier: 53%"
"GL","FLADE ISBLINK ICE CAP",3668,1657,20089999,20049999,,,400.0000000,280.0000,,,"Rinne, E.J. A. Shepherd, et al., 2011, J. Geophys. Res., 116, F03024, 10.1029/2011JF001972","Estimated based on spaceborn laser altimetry from RA-2 (EnviSAT)."
"GL","FLADE ISBLINK ICE CAP",3668,1658,20089999,20049999,,,680.0000000,1120.000,,,"Rinne, E.J. A. Shepherd, et al., 2011, J. Geophys. Res., 116, F03024, 10.1029/2011JF001972","Estimated based on spaceborn laser altimetry from RA-2 (EnviSAT)."
"GL","FLADE ISBLINK ICE CAP",3668,1659,20099999,20029999,,,210.0000000,210.0000,,,"Rinne, E.J. A. Shepherd, et al., 2011, J. Geophys. Res., 116, F03024, 10.1029/2011JF001972","Estimated based on spaceborn laser altimetry from RA-2 (EnviSAT)."
"GL","HOLM LAND ICE CAP",10419,9111,20149999,19789999,865.0000,,-8300.0000000,280.0000,,,"Von Albedyll et al. (2018, subm.), AAAR.","DEM differencing based on AeroDEM (1878) and ArcticDEM (2012-15)."
"GL","HOLM LAND OUTLET 1",10461,88671,20149999,19789999,,,-5690.0000000,790.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 10",10470,88680,20149999,19789999,,,-9960.0000000,880.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 2",10462,88672,20149999,19789999,,,-9050.0000000,890.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 3",10463,88673,20149999,19789999,,,-4890.0000000,930.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 4",10464,88674,20149999,19789999,,,-8020.0000000,680.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 5",10465,88675,20149999,19789999,,,-11720.0000000,810.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 6",10466,88676,20149999,19789999,,,-9960.0000000,880.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 7",10467,88677,20149999,19789999,,,-13380.0000000,820.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 8",10468,88678,20149999,19789999,,,-8070.0000000,790.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","HOLM LAND OUTLET 9",10469,88679,20149999,19789999,,,-15000.0000000,810.0000,"Luisa von Albedyll","University of Zurich","Albedyll et al. (2018), AAAR, 50(1),  10.1080/15230430.2018.1523638.","Uncertainty of survey year and void filling mechanisms, see publication."
"GL","MITTIVAKKAT",1629,9060,20129999,19949999,15.80000,-1800.000,-34731.0000000,,,,"Yde et al. (2014), J. Glaciol., 60 (224), p. 1199-1207, doi: 10.3189/2014JoG14J047.","The DEM of 2012 produced from combining ASTER GDEMv2 with in-situ GPS measurements. The DEM of 1994 is from Knudsen and Hasholt, 1999)."
"GL","MITTIVAKKAT",1629,9057,20129999,19949999,15.80000,-1800.000,-25000.0000000,,"Jakob Yde","Sogn og Fjordane University College, Sogndal, Norway","Yde et al., J. Glaciol. (2014)",
"GL","SAQQAQ",3745,88709,20120507,19859999,7.699000,,-14770.0000000,4840.000,"Robert McNabb, Jacqueline Bannwart","Department of Geosciences, University of Oslo, Department of Geography, University of Zurich","Huber et al. (2020): Front. Earth Sci., 8(35), DOI: 10.3389/feart.2020.00035.","Glacier outlines and area from RGI6.0, surface elevation change fields derived from AeroDEM and TanDEM-X data, filling of voids in the elevation change fields using local glacier hypsometry according to McNabb et al. 2019, Survey date/year: TanDEM-X consists of several scenes with a temporal coverage 20101212 - 20140220, hence, mid-point of this time frame is used, reference date: unknown day and month, uncertainty assessment based on the corresponding calculation in Huber et al. 2020 (subm.), radar penetration not considered, elevation change was calculated if 2/3 of the elevation range and 1/3 of the area has data coverage, areal void fraction of this glacier: 66%"
