"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"IS","BALDJOKULL",6834,5661,20040899,19970499,100.0000,,-11760.0000000,20.00000,,,"Pope et al. (2016); Journal of Glaciology, 62(233), 497-511.","METHOD: DEMs resulted from maps, satellite images and airborn radar data. "
"IS","BALDJOKULL",6834,5662,20070899,20040899,100.0000,,-450.0000000,40.00000,,,"Pope et al. (2016); Journal of Glaciology, 62(233), 497-511.","METHOD: DEMs resulted from maps, satellite images and airborn radar data. "
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114433,19600824,19450830,18.87860,-428.0000,-2911.0000000,1680.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114434,19800822,19600824,17.97820,-900.0000,-373.0000000,1093.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114435,19940807,19600824,18.80860,-70.00000,2948.0000000,789.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114436,19940807,19800822,18.80860,830.0000,3056.0000000,831.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114437,20040808,19940807,18.54040,-268.0000,-5160.0000000,905.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114438,20161010,19940807,17.62060,-1188.000,-12261.0000000,901.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BARKARDALS_TUNGNAHRYGGSJOKULL",26288,114439,20161010,20040808,17.62060,-920.0000,-8262.0000000,1058.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","BREIDARMERKURJOKULL EASTERN STREAM",8298,6754,20109999,18909999,906.0000,,-79121.0000000,13187.00,,,"Gudmundsson et al. (2017), Geografiska Annaler: Series A, Physical Geography 99 (4), 338-352, doi: 10.1080/04353676.2017.1355216.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","BRUARJOKULL",3067,5663,20150930,20101001,1528.000,,-1832.0000000,229.0000," Noel Gourmelen","European Space Agency","Foresta, L., et al. (2016),  Geophys. Res. Lett., 43, doi:10.1002/2016GL071485",
"IS","DRANGAJOKULL ICE CAP",6831,6756,19600799,19461012,154.0000,-7000.000,-10154.0000000,2615.000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6757,19750905,19600799,148.0000,-6000.000,-1154.0000000,1154.000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6758,19850727,19750905,148.0000,0.0000000,769.0000000,879.0000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6759,19940804,19850727,147.0000,-1000.000,2571.0000000,1088.000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6760,20050899,19940804,145.0000,-2000.000,-7736.0000000,1209.000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6761,20110720,20050899,144.0000,-1000.000,-3033.0000000,989.0000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,6755,20119999,19461012,144.0000,-17000.00,-18571.0000000,2857.000,,,"Magnusson et al. (2016), The Cryosphere, 10, 159-177, https://doi.org/10.5194/tc-10-159-2016.","Reported by Stanislav Kutuzov. Assumed density for converting value from literature into mm ice: 910 kg m3."
"IS","DRANGAJOKULL ICE CAP",6831,5664,20150930,20101001,195.0000,,-1282.0000000,2051.000," Noel Gourmelen","European Space Agency","Foresta, L., et al. (2016),  Geophys. Res. Lett., 43, doi:10.1002/2016GL071485",
"IS","DRANGAJOKULL ICE CAP",6831,114440,20160705,20110720,144.9290,1330.000,1034.0000000,90.00000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114441,19860815,19780905,25.77120,459.0000,1202.0000000,1795.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114444,19950824,19600818,25.67080,853.0000,1133.0000000,2187.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114442,19950824,19600818,25.31190,494.0000,-779.0000000,4089.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114443,19950824,19860815,25.67080,-100.0000,-137.0000000,1783.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114445,20040819,19950824,22.50340,-3167.000,-5778.0000000,1807.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114446,20080902,19950824,22.57620,-3095.000,-9515.0000000,1656.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114447,20080902,20040819,22.57620,73.00000,-4492.0000000,915.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EIRIKSJOKULL",26289,114448,20170710,20080902,22.68990,114.0000,324.0000000,260.0000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EYJAFJALLAJOKULL",3353,114449,20100902,19940803,72.39360,-19726.00,-28467.0000000,2016.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","EYJAFJALLAJOKULL",3353,114450,20170810,20100902,69.82060,-2573.000,2121.0000000,1256.000,"Joaquin M.C. Belart","Institute of Earth Sciences University of Iceland and Laboratoire dEtudes en Géophysique et Océanographie Spatiale Toulouse","Belart et al. (2020): Frontiers in Earth Sciences, 8 (163), doi: 10.3389/feart.2020.00163",
"IS","FJALLSJOKULL FITJAR",3072,9085,19049999,18909999,56.10000,-1600.000,-6593.0000000,,,,"Hannesdottir et. al. (2015), The Cryosphere, 9, p. 565-585, doi:10.5194/tc-9-565-2015.",
"IS","FJALLSJOKULL FITJAR",3072,9084,19459999,19049999,51.70000,-4400.000,-22555.0000000,,,,"Hannesdottir et. al. (2015), The Cryosphere, 9, p. 565-585, doi:10.5194/tc-9-565-2015.",
"IS","FJALLSJOKULL FITJAR",3072,9083,20029999,19459999,47.30000,-4400.000,-25777.0000000,,,,"Hannesdottir et. al. (2015), The Cryosphere, 9, p. 565-585, doi:10.5194/tc-9-565-2015.",
"IS","FJALLSJOKULL FITJAR",3072,9082,20109999,20029999,44.60000,-2700.000,-4900.0000000,,,,"Hannesdottir et. al. (2015), The Cryosphere, 9, p. 565-585, doi:10.5194/tc-9-565-2015.",
"IS","FJALLSJOKULL FITJAR",3072,77018,20121006,20020517,63.49230,,-15899.0000000,9251.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00305172002124040/SETSM_WV02_20121006_103001001C099500_103001001B122100_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"IS","FJALLSJOKULL FITJAR",3072,77016,20130918,20020517,63.49230,,-14414.0000000,8408.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00305172002124040/SETSM_WV01_20130918_1020010026365100_1020010025093500_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"IS","FJALLSJOKULL FITJAR",3072,77022,20130918,20050712,63.49230,,-11799.0000000,9013.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307122005123825/SETSM_WV01_20130918_1020010026365100_1020010025093500_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"IS","FJALLSJOKULL FITJAR",3072,77019,20130918,20050728,63.49230,,-8162.0000000,7538.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307282005123825/SETSM_WV01_20130918_1020010026365100_1020010025093500_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"IS","FJALLSJOKULL FITJAR",3072,77015,20131009,20020517,63.49230,,-15526.0000000,7805.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00305172002124040/SETSM_WV01_20131009_1020010026B9B900_1020010026377A00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"IS","FJALLSJOKULL FITJAR",3072,77024,20131009,20050712,63.49230,,-10590.0000000,8438.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307122005123825/SETSM_WV01_20131009_1020010026B9B900_1020010026377A00_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
