"PU","NAME","WGMS_ID","SURVEY_ID","SURVEY_DATE","REFERENCE_DATE","AREA_SURVEY_YEAR","AREA_CHANGE","ELEVATION_CHANGE","ELEVATION_CHANGE_UNC","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"US","AGASSIZ",3540,1579,19999999,19729999,591.0000,,-30000.0000000,,,,"Muskett, R.R., et al., 2008, J. Glaciol., 54, 788-300, 10.3189/002214308787779915","intermap tech.  Xband - SRTM Xband"
"US","AGASSIZ",3540,1580,20029999,19999999,488.0000,,-3000.0000000,,,,"Muskett, R.R., et al., 2008, J. Glaciol., 54, 788-300, 10.3189/002214308787779915","SRTM Xband/ USGS DEM"
"US","AIALIK",3373,1255,19940529,19500805,87.00000,-100.0000,90.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; VanLooy, J., et al., 2006, Geophys. Res. Lett., 33, L21307, 10.1029/2006GL028060","Methods used for survey/reference years are: AP/AL. "
"US","AIALIK",3373,1253,19940529,19500805,118.0000,0.0000000,-11000.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Aðalgeirsdóttir, G., et al., 1998, J. Glaciol., 44, 570-582, 10.3198/1998JoG44-148-570-582","Methods used for survey/reference years are: AP/AL. "
"US","AIALIK",3373,1254,19940529,19500805,,,978.0000000,14080.00,,,"Arendt, A., et al., 2009, J. Clim., 22, 4117-4134, 10.1175/2009JCLI2784.1",
"US","AIALIK",3373,1256,20000210,19940529,87.00000,0.0000000,-2040.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; VanLooy, J., et al., 2006, Geophys. Res. Lett., 33, L21307, 10.1029/2006GL028060","Methods used for survey/reference years are: AL/SI. "
"US","ALLEN",3543,1584,20000808,19509999,,,-45000.0000000,3500.000,,,"Arendt, A., et al., 2009, J. Clim., 22, 4117-4134, 10.1175/2009JCLI2784.1",
"US","ALLEN",3543,1585,20040904,19509999,207.4200,-14580.00,-48000.0000000,,,,"Arendt, A.A., et al., 2006, J. Geophys. Res., 111, F03019, 10.1029/2005JF000436","Maps and ETM+"
"US","ANDREWS",1341,868,19630924,19620923,0.0650000,-10.00000,-3000.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Outcalt, S.I., and D.D. McPhail, 1965, A Survey of Neoglaciation in the Front Range of Colorado, 124p","Methods used for survey/reference years are: AP/AP. "
"US","ANDREWS",1341,869,19640930,19630924,0.0650000,0.0000000,-1120.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Outcalt, S.I., and D.D. McPhail, 1965, A Survey of Neoglaciation in the Front Range of Colorado, 124p","Methods used for survey/reference years are: AP/AP. "
"US","APPLEGATE",92,5744,20069999,19509999,1.154480,,-17472.0000000,,"Raymond LE BRIS and Frank PAUL","Dept. of Geography, University of Zurich, Winterthurerstrasse 190, 8057 Zurich, Switzerland","Le Bris, R. and Paul, F. (2015); Annals of Glaciology, 56(70), pp.184-192.","1950s: Outlines and elevation derived from topographic maps, 2006: elevation derived from SPOT5 HRS (SPIRIT). Data void on this glacier is 11.13%."
"US","AREY",3374,1257,19930701,19730701,,,-11600.0000000,5940.000,,,"Arendt, A., et al., 2009, J. Clim., 22, 4117-4134, 10.1175/2009JCLI2784.1",
"US","AREY",3374,1258,19940701,19730701,4.600000,0.0000000,-11400.0000000,,,,"Cogley, G., 2009, Ann. Glaciol., 50, 96-100, 10.3189/172756409787769744; Rabus, B.T., and K.A. Echelmeyer, 1998, J. Glaciol., 44, 333-351, 10.3198/1998JoG44-147-333-351","Methods used for survey/reference years are: AP/TG. "
"US","AREY",3374,22688,20160531,20050625,4.222000,,-7612.0000000,16520.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00306252005064611/AST_L1A_00305312016214209. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","AREY",3374,22685,20160531,20060725,4.222000,,-5576.0000000,10198.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/AST_L1A_00305312016214209. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","AREY",3374,22687,20160616,20060725,4.222000,,-6031.0000000,13214.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/AST_L1A_00306162016214215. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2999. "
"US","AREY",3374,22689,20160831,20020329,4.222000,,-9998.0000000,11862.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00303292002214848/SETSM_WV01_20160831_1020010057817300_102001005227A900_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","AREY",3374,22686,20160831,20060725,4.222000,,-4577.0000000,9987.000,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: AST_L1A_00307252006212849/SETSM_WV01_20160831_1020010057817300_102001005227A900_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature Geoscience, 10(9), 668-673, 10.1038/NGEO2"
"US","AREY",3374,22690,20160831,20080830,4.222000,,-6958.0000000,12229.00,"Robert McNabb","Department of Geosciences, University of Oslo","Zemp et al. (2019): Nature, 568, 382–386, DOI: 10.1038/s41586-019-1071-0.","Granule name of the reference/survey DEM: SETSM_WV01_20080830_1020010003561200_1020010004712300_seg1_30m_dem/SETSM_WV01_20160831_1020010057817300_102001005227A900_seg1_30m_dem. Uncertainty assessment based on the calculation in Brun et al. (2017); Nature "
