"Category","Annual_Mean","Five_Year_Smooth"
"1901",-5.08,-5.22
"1902",-5.42,-5.31
"1903",-5.5,-5.39
"1904",-5.83,-5.47
"1905",-5.01,-5.52
"1906",-5.08,-5.55
"1907",-6.1,-5.55
"1908",-5.28,-5.52
"1909",-5.93,-5.49
"1910",-5.12,-5.45
"1911",-5.73,-5.42
"1912",-5.45,-5.42
"1913",-5.47,-5.44
"1914",-5.42,-5.48
"1915",-4.47,-5.52
"1916",-5.96,-5.56
"1917",-6.34,-5.6
"1918",-5.68,-5.61
"1919",-5.55,-5.62
"1920",-5.42,-5.6
"1921",-5.06,-5.56
"1922",-5.73,-5.5
"1923",-5.36,-5.41
"1924",-5.35,-5.31
"1925",-5.4,-5.22
"1926",-5.15,-5.14
"1927",-5.63,-5.09
"1928",-4.67,-5.08
"1929",-5.67,-5.1
"1930",-4.64,-5.15
"1931",-3.86,-5.2
"1932",-5.43,-5.26
"1933",-6.2,-5.3
"1934",-5.21,-5.33
"1935",-5.7,-5.32
"1936",-5.97,-5.28
"1937",-4.86,-5.18
"1938",-4.23,-5.03
"1939",-4.96,-4.83
"1940",-4.4,-4.62
"1941",-4.47,-4.45
"1942",-4.49,-4.35
"1943",-4.73,-4.36
"1944",-4.01,-4.49
"1945",-5.16,-4.7
"1946",-5.11,-4.93
"1947",-4.68,-5.14
"1948",-5.11,-5.28
"1949",-5.08,-5.31
"1950",-6.13,-5.25
"1951",-5.62,-5.14
"1952",-4.2,-5.02
"1953",-4.11,-4.91
"1954",-4.85,-4.84
"1955",-5.18,-4.82
"1956",-5.68,-4.84
"1957",-5.1,-4.87
"1958",-4.31,-4.93
"1959",-5.3,-4.98
"1960",-4.53,-5.03
"1961",-5.1,-5.08
"1962",-4.97,-5.12
"1963",-4.72,-5.14
"1964",-5.56,-5.16
"1965",-5.61,-5.17
"1966",-5.31,-5.17
"1967",-5.34,-5.18
"1968",-4.88,-5.19
"1969",-4.67,-5.21
"1970",-5.18,-5.24
"1971",-5.02,-5.27
"1972",-6.85,-5.29
"1973",-4.29,-5.28
"1974",-5.64,-5.24
"1975",-5.09,-5.14
"1976",-4.89,-5.01
"1977",-4.01,-4.88
"1978",-5.42,-4.75
"1979",-5.07,-4.65
"1980",-4.54,-4.6
"1981",-3.02,-4.59
"1982",-5.97,-4.61
"1983",-4.84,-4.64
"1984",-4.76,-4.67
"1985",-4.92,-4.68
"1986",-4.79,-4.66
"1987",-3.37,-4.63
"1988",-4.19,-4.6
"1989",-5.14,-4.58
"1990",-5.01,-4.59
"1991",-4.47,-4.62
"1992",-5,-4.66
"1993",-4.63,-4.68
"1994",-4.43,-4.66
"1995",-4.43,-4.57
"1996",-5.27,-4.42
"1997",-4.31,-4.22
"1998",-2.86,-4.01
"1999",-3.35,-3.84
"2000",-4.29,-3.73
"2001",-3.38,-3.72
"2002",-4.5,-3.78
"2003",-4,-3.88
"2004",-4.94,-3.98
"2005",-3.41,-4.05
"2006",-2.76,-4.05
"2007",-4.2,-3.98
"2008",-4.53,-3.87
"2009",-4.39,-3.77
"2010",-2.49,-3.69
"2011",-3.87,-3.67
"2012",-3.53,-3.72
"2013",-4.38,-3.8
"2014",-4.43,-3.91
"2015",-3.92,-4.02
"2016",-3.22,-4.1
"2017",-3.8,-4.14
"2018",-4.67,-4.14
"2019",-4.38,-4.12
"2020",-4.27,-4.08
"2021",-3.71,-4.03
