"Category","Annual_Mean","Five_Year_Smooth"
"1901",9.87,9.73
"1902",9.34,9.52
"1903",9.12,9.32
"1904",9.4,9.14
"1905",8.98,9.01
"1906",9.19,8.92
"1907",8.67,8.88
"1908",8.95,8.9
"1909",8.82,8.96
"1910",9.01,9.04
"1911",8.91,9.13
"1912",9.48,9.21
"1913",9.65,9.28
"1914",9.13,9.33
"1915",9.29,9.37
"1916",9.3,9.38
"1917",9.35,9.36
"1918",9.1,9.33
"1919",9.59,9.28
"1920",9.49,9.23
"1921",9.01,9.18
"1922",9.11,9.15
"1923",8.89,9.15
"1924",9.24,9.16
"1925",9.22,9.18
"1926",9.39,9.21
"1927",9.29,9.22
"1928",8.96,9.23
"1929",9.35,9.22
"1930",9.34,9.2
"1931",8.83,9.17
"1932",9.28,9.12
"1933",9.01,9.06
"1934",8.9,8.99
"1935",9.09,8.94
"1936",9.02,8.89
"1937",8.96,8.88
"1938",8.74,8.91
"1939",9.03,8.98
"1940",9.03,9.07
"1941",9.1,9.16
"1942",8.95,9.24
"1943",9.32,9.3
"1944",9.56,9.32
"1945",9.7,9.31
"1946",9.11,9.28
"1947",9.16,9.25
"1948",9.07,9.22
"1949",9.14,9.2
"1950",8.96,9.19
"1951",9.39,9.19
"1952",9.52,9.2
"1953",9.46,9.2
"1954",9.08,9.2
"1955",8.91,9.19
"1956",8.86,9.19
"1957",9.29,9.18
"1958",9.3,9.17
"1959",9.01,9.15
"1960",9.34,9.15
"1961",9.14,9.14
"1962",9.44,9.14
"1963",9.1,9.15
"1964",8.97,9.18
"1965",9.23,9.21
"1966",9.05,9.24
"1967",9.14,9.25
"1968",9.38,9.25
"1969",9.46,9.21
"1970",9.26,9.14
"1971",8.7,9.05
"1972",9.05,8.97
"1973",8.94,8.91
"1974",8.86,8.89
"1975",8.96,8.94
"1976",8.74,9.02
"1977",9.42,9.13
"1978",9.43,9.25
"1979",9.27,9.34
"1980",9.36,9.39
"1981",9.36,9.4
"1982",9.36,9.39
"1983",9.46,9.36
"1984",8.75,9.32
"1985",9.47,9.29
"1986",9.34,9.28
"1987",9.73,9.28
"1988",9.12,9.29
"1989",9.5,9.31
"1990",9.33,9.34
"1991",9.22,9.38
"1992",9.14,9.43
"1993",9.42,9.46
"1994",9.68,9.49
"1995",9.36,9.49
"1996",9.35,9.47
"1997",9.7,9.43
"1998",9.82,9.39
"1999",9.29,9.35
"2000",8.92,9.32
"2001",9.23,9.31
"2002",9.11,9.32
"2003",9.54,9.34
"2004",9.69,9.37
"2005",9.24,9.39
"2006",9.66,9.4
"2007",8.86,9.4
"2008",9.63,9.4
"2009",9.51,9.41
"2010",9.19,9.43
"2011",9.44,9.46
"2012",9.67,9.52
"2013",9.67,9.59
"2014",9.57,9.66
"2015",9.84,9.72
"2016",9.84,9.77
"2017",9.87,9.81
"2018",9.56,9.82
"2019",9.66,9.83
"2020",9.97,9.82
"2021",9.88,9.82
