"Category","Annual_Mean","Five_Year_Smooth"
"1901",-19.59,-19.74
"1902",-19.98,-19.88
"1903",-20.11,-20.01
"1904",-20.29,-20.12
"1905",-19.78,-20.2
"1906",-20.46,-20.24
"1907",-20.6,-20.23
"1908",-19.61,-20.18
"1909",-19.96,-20.11
"1910",-20.4,-20.04
"1911",-20.16,-19.98
"1912",-19.46,-19.95
"1913",-19.98,-19.95
"1914",-20.8,-19.97
"1915",-19.64,-20.02
"1916",-19.5,-20.07
"1917",-20.05,-20.13
"1918",-20.69,-20.19
"1919",-20.12,-20.22
"1920",-20.37,-20.21
"1921",-20.21,-20.14
"1922",-20.02,-20
"1923",-19.34,-19.79
"1924",-19.59,-19.53
"1925",-19.41,-19.24
"1926",-18.86,-18.98
"1927",-19.16,-18.77
"1928",-18.26,-18.64
"1929",-18.4,-18.57
"1930",-18.75,-18.57
"1931",-18.97,-18.61
"1932",-18.61,-18.67
"1933",-18.54,-18.75
"1934",-18.8,-18.83
"1935",-18.8,-18.9
"1936",-18.79,-18.97
"1937",-19.27,-19.02
"1938",-19.63,-19.05
"1939",-18.68,-19.06
"1940",-19.06,-19.05
"1941",-18.41,-19.03
"1942",-18.87,-19.02
"1943",-19.71,-19
"1944",-19.53,-19
"1945",-19,-19.01
"1946",-18.46,-19.03
"1947",-18.27,-19.07
"1948",-19.36,-19.14
"1949",-19.71,-19.22
"1950",-19.43,-19.31
"1951",-19.97,-19.4
"1952",-19.05,-19.46
"1953",-19.25,-19.49
"1954",-19.15,-19.47
"1955",-19.52,-19.41
"1956",-19.74,-19.33
"1957",-19.17,-19.24
"1958",-18.87,-19.15
"1959",-19.43,-19.08
"1960",-18.56,-19.05
"1961",-19.5,-19.04
"1962",-18.88,-19.08
"1963",-19.24,-19.15
"1964",-19.38,-19.27
"1965",-18.97,-19.42
"1966",-19.88,-19.59
"1967",-19.83,-19.75
"1968",-20,-19.88
"1969",-19.68,-19.96
"1970",-19.73,-19.97
"1971",-20.3,-19.94
"1972",-19.89,-19.87
"1973",-19.86,-19.77
"1974",-19.26,-19.68
"1975",-20.19,-19.59
"1976",-19.28,-19.51
"1977",-19.2,-19.46
"1978",-19.63,-19.44
"1979",-19.65,-19.45
"1980",-18.83,-19.5
"1981",-19.22,-19.58
"1982",-20.13,-19.67
"1983",-20.77,-19.75
"1984",-20.19,-19.8
"1985",-19,-19.81
"1986",-19.5,-19.77
"1987",-19.49,-19.71
"1988",-19.18,-19.64
"1989",-20.36,-19.58
"1990",-19.35,-19.54
"1991",-19.09,-19.53
"1992",-20.09,-19.53
"1993",-20.03,-19.54
"1994",-19.49,-19.52
"1995",-19.42,-19.46
"1996",-18.84,-19.36
"1997",-19.13,-19.22
"1998",-18.69,-19.05
"1999",-19.18,-18.88
"2000",-19.07,-18.71
"2001",-18.79,-18.56
"2002",-18.33,-18.43
"2003",-17.95,-18.33
"2004",-18.52,-18.25
"2005",-17.71,-18.2
"2006",-18.17,-18.17
"2007",-18.34,-18.16
"2008",-18.61,-18.17
"2009",-18.56,-18.2
"2010",-17.43,-18.24
"2011",-18.31,-18.29
"2012",-18.24,-18.34
"2013",-18.82,-18.39
"2014",-18.28,-18.43
"2015",-18.95,-18.44
"2016",-17.38,-18.43
"2017",-18.41,-18.37
"2018",-18.8,-18.3
"2019",-18.18,-18.2
"2020",-18.46,-18.08
"2021",-17.56,-17.96
