"Category","Annual_Mean","Five_Year_Smooth"
"1901",20.51,20.66
"1902",20.82,20.48
"1903",19.93,20.31
"1904",20.36,20.17
"1905",19.99,20.05
"1906",20.26,19.99
"1907",19.98,19.97
"1908",19.97,20
"1909",19.89,20.06
"1910",19.86,20.12
"1911",20.12,20.18
"1912",20.42,20.22
"1913",20.03,20.23
"1914",20.36,20.23
"1915",20.85,20.21
"1916",20.25,20.19
"1917",19.83,20.18
"1918",20.04,20.18
"1919",19.92,20.18
"1920",19.88,20.19
"1921",20.68,20.2
"1922",20.45,20.19
"1923",19.99,20.18
"1924",20.16,20.17
"1925",20.27,20.15
"1926",20.08,20.14
"1927",19.93,20.13
"1928",20.32,20.13
"1929",20.1,20.15
"1930",19.94,20.16
"1931",20.32,20.18
"1932",20.5,20.19
"1933",20.13,20.19
"1934",20.3,20.18
"1935",19.78,20.18
"1936",20.29,20.2
"1937",19.94,20.24
"1938",20.35,20.3
"1939",20.37,20.4
"1940",20.62,20.51
"1941",21.39,20.6
"1942",20.6,20.67
"1943",20.45,20.7
"1944",20.26,20.67
"1945",19.97,20.6
"1946",20.89,20.51
"1947",21.07,20.42
"1948",20.52,20.35
"1949",20.3,20.3
"1950",19.37,20.29
"1951",20.36,20.29
"1952",20.43,20.31
"1953",20.99,20.34
"1954",20.36,20.37
"1955",20.34,20.39
"1956",20.21,20.41
"1957",19.57,20.42
"1958",21,20.41
"1959",20.55,20.38
"1960",20.29,20.32
"1961",20.19,20.27
"1962",20.18,20.22
"1963",20.86,20.19
"1964",19.84,20.2
"1965",20.18,20.24
"1966",20.25,20.29
"1967",20.08,20.35
"1968",19.94,20.39
"1969",20.74,20.4
"1970",20.82,20.36
"1971",20.57,20.3
"1972",19.75,20.24
"1973",20.45,20.19
"1974",20.11,20.18
"1975",19.85,20.22
"1976",20.11,20.3
"1977",20.94,20.39
"1978",20.49,20.47
"1979",20.31,20.52
"1980",20.78,20.51
"1981",20.62,20.45
"1982",19.94,20.37
"1983",20.04,20.31
"1984",20.31,20.27
"1985",20.65,20.3
"1986",20.01,20.39
"1987",20.82,20.5
"1988",21.24,20.61
"1989",20.06,20.68
"1990",20.8,20.68
"1991",20.35,20.6
"1992",20.12,20.49
"1993",20.82,20.37
"1994",20.55,20.28
"1995",20.35,20.27
"1996",20.26,20.36
"1997",19.82,20.51
"1998",20.89,20.71
"1999",21.32,20.9
"2000",21.07,21.06
"2001",21.2,21.15
"2002",21.24,21.18
"2003",20.77,21.18
"2004",21.45,21.15
"2005",20.59,21.13
"2006",21.28,21.12
"2007",21.25,21.14
"2008",21.14,21.17
"2009",21.55,21.22
"2010",21.62,21.26
"2011",21.31,21.29
"2012",20.72,21.31
"2013",21.33,21.33
"2014",20.97,21.34
"2015",21.17,21.34
"2016",21.79,21.35
"2017",21.55,21.35
"2018",21.87,21.35
"2019",20.99,21.35
"2020",20.81,21.36
"2021",21.68,21.36
